UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065100","connect-four","illustration","2024-06-12",2,"gpt-4o","gpt-4-turbo","disqualified2nd",16,16,5,11,0,0,1,8,0,0,0,0
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065121","connect-four","illustration","2024-06-12",3,"gpt-4o","gpt-4-turbo","disqualified2nd",16,15,4,11,0,0,0,8,0,0,0,0
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065144","connect-four","illustration","2024-06-12",4,"gpt-4o","gpt-4-turbo","disqualified2nd",17,16,5,11,0,0,1,8,0,0,0,0
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065216","connect-four","illustration","2024-06-12",5,"gpt-4o","gpt-4-turbo","disqualified2nd",27,25,10,15,0,0,2,8,0,0,0,0
"01901660-83a6-7097-b545-6bdfff405b4f","240614-065300","connect-four","illustration","2024-06-12",1,"gpt-4o","gemini-1.5-pro","winner1st",38,35,17,18,17,0,4,6,0,0,0,0
"01901660-83a6-7097-b545-6bdfff405b4f","240614-065332","connect-four","illustration","2024-06-12",2,"gpt-4o","gemini-1.5-pro","winner2nd",26,25,11,14,0,14,1,4,0,0,0,0
"01901660-83a6-7097-b545-6bdfff405b4f","240614-065412","connect-four","illustration","2024-06-12",3,"gpt-4o","gemini-1.5-pro","disqualified2nd",34,32,15,17,0,0,5,8,0,0,0,0
"01901660-83a6-7097-b545-6bdfff405b4f","240614-065435","connect-four","illustration","2024-06-12",4,"gpt-4o","gemini-1.5-pro","winner1st",17,16,8,8,8,0,1,2,0,0,0,0
"01901660-83a6-7097-b545-6bdfff405b4f","240614-065505","connect-four","illustration","2024-06-12",5,"gpt-4o","gemini-1.5-pro","winner2nd",25,24,11,13,0,13,3,5,0,0,0,0
"01901663-1656-7b3c-b52e-56b309f42613","240614-065546","connect-four","illustration","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner2nd",35,31,14,17,0,17,2,5,0,0,0,0
