UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds,MoveNumber,MovePlayer,MoveRow,MoveCol,MoveOutcome,CurrentStatus,Response,FinalGameState
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,1,1,6,4,"Valid","eeeeeee \neeeeeee \neeeeeee \neeeeeee \neeeeeee \neeeeeee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,2,2,5,4,"Valid","eeeeeee \neeeeeee \neeeeeee \neeeeeee \neeeeeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,3,1,4,4,"Valid","eeeeeee \neeeeeee \neeeeeee \neeeeeee \neeeYeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,4,2,3,4,"Valid","eeeeeee \neeeeeee \neeeeeee \neeeReee \neeeYeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,5,1,2,4,"Valid","eeeeeee \neeeeeee \neeeYeee \neeeReee \neeeYeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,6,2,1,4,"Valid","eeeeeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,7,1,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeeReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,8,1,6,3,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeeReee \n","{'column':3}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,9,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeRReee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,10,2,6,5,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeRReee \n","{'column':5}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,11,1,5,5,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYeee \neeRRYee \n","{'column':5}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,12,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYRee \neeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,13,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYRee \neeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,14,2,6,1,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYRee \neeRRYee \n","{'column':1}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,15,1,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYRee \nYeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,16,1,5,3,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeeYRee \nYeRRYee \n","{'column':3}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,17,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeRYRee \nYeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,18,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeeYeee \neeeReee \neeRYRee \nYeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,19,2,4,3,"Valid","eeeYeee \neeeReee \neeeYeee \neeeReee \neeRYRee \nYeRRYee \n","{'column':3}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,20,1,3,3,"Valid","eeeYeee \neeeReee \neeeYeee \neeYReee \neeRYRee \nYeRRYee \n","{'column':3}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
"0190165e-7a40-7c6b-9ec5-243fafc8c185","240614-065038","connect-four","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",29,25,11,14,11,0,3,7,0,0,0,0,21,2,-1,4,"Already Taken","eeeYeee \neeeReee \neeRYeee \neeYReee \neeRYRee \nYeRRYee \n","{'column':4}","eeeYeee \neeeReee \neeRYeee \neeYRYee \neeRYRee \nYeRRYRe \n"
