UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"01901241-0412-7b61-8e34-19f44812de3b","240613-114042","connect-four","image","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",73,29,13,16,0,0,4,8,0,0,0,0
"01901241-0412-7b61-8e34-19f44812de3b","240613-114214","connect-four","image","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner2nd",88,30,15,15,0,15,4,4,0,0,0,0
"01901241-0412-7b61-8e34-19f44812de3b","240613-114358","connect-four","image","2024-06-12",3,"gpt-4o","gpt-4-turbo","winner1st",99,37,18,19,18,0,4,6,0,0,0,0
"01901241-0412-7b61-8e34-19f44812de3b","240613-114445","connect-four","image","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner2nd",41,15,8,7,0,7,1,0,0,0,0,0
"01901241-0412-7b61-8e34-19f44812de3b","240613-114543","connect-four","image","2024-06-12",5,"gpt-4o","gpt-4-turbo","winner2nd",53,21,10,11,0,11,3,4,0,0,0,0
"01901246-d180-7f92-85e2-02dc6c51df6b","240613-114701","connect-four","image","2024-06-12",1,"gpt-4o","gemini-1.5-pro","disqualified1st",72,36,20,16,0,0,8,4,0,0,0,0
"01901246-d180-7f92-85e2-02dc6c51df6b","240613-114728","connect-four","image","2024-06-12",2,"gpt-4o","gemini-1.5-pro","winner1st",22,11,6,5,6,0,0,0,0,0,0,0
"01901246-d180-7f92-85e2-02dc6c51df6b","240613-114828","connect-four","image","2024-06-12",3,"gpt-4o","gemini-1.5-pro","winner1st",55,22,11,11,11,0,1,2,0,0,0,0
"01901246-d180-7f92-85e2-02dc6c51df6b","240613-114921","connect-four","image","2024-06-12",4,"gpt-4o","gemini-1.5-pro","disqualified2nd",47,24,10,14,0,0,3,8,0,0,0,0
"01901246-d180-7f92-85e2-02dc6c51df6b","240613-115055","connect-four","image","2024-06-12",5,"gpt-4o","gemini-1.5-pro","disqualified2nd",89,36,18,18,0,0,7,8,0,0,0,0
"0190124b-90de-7e71-9038-f1dc1e4f68bc","240613-115147","connect-four","image","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner1st",47,21,10,11,10,0,0,2,0,0,0,0
"0190124b-90de-7e71-9038-f1dc1e4f68bc","240613-115213","connect-four","image","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",20,9,5,4,5,0,0,0,0,0,0,0
"0190124b-90de-7e71-9038-f1dc1e4f68bc","240613-115316","connect-four","image","2024-06-12",3,"gpt-4o","gemini-1.5-flash","winner1st",58,29,14,15,14,0,4,6,0,0,0,0
"0190124b-90de-7e71-9038-f1dc1e4f68bc","240613-115348","connect-four","image","2024-06-12",4,"gpt-4o","gemini-1.5-flash","winner1st",27,9,5,4,5,0,0,0,0,0,0,0
"0190124b-90de-7e71-9038-f1dc1e4f68bc","240613-115411","connect-four","image","2024-06-12",5,"gpt-4o","gemini-1.5-flash","winner1st",17,9,5,4,5,0,0,0,0,0,0,0
"0190124e-8e69-79f2-af96-03317deff208","240613-115526","connect-four","image","2024-06-12",1,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified2nd",70,36,16,20,0,0,3,8,0,0,0,0
"0190124e-8e69-79f2-af96-03317deff208","240613-115545","connect-four","image","2024-06-12",2,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",14,7,4,3,4,0,0,0,0,0,0,0
"0190124e-8e69-79f2-af96-03317deff208","240613-115703","connect-four","image","2024-06-12",3,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified2nd",72,35,16,19,0,0,4,8,0,0,0,0
"0190124e-8e69-79f2-af96-03317deff208","240613-115730","connect-four","image","2024-06-12",4,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",21,10,5,5,0,5,0,0,0,0,0,0
"0190124e-8e69-79f2-af96-03317deff208","240613-115844","connect-four","image","2024-06-12",5,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified2nd",69,35,17,18,0,0,6,8,0,0,0,0
"01901252-b716-7b0a-9f04-28c4541b057b","240613-120005","connect-four","image","2024-06-12",1,"gpt-4-turbo","gpt-4o","winner1st",77,20,11,9,11,0,4,3,0,0,0,0
"01901252-b716-7b0a-9f04-28c4541b057b","240613-120341","connect-four","image","2024-06-12",2,"gpt-4-turbo","gpt-4o","winner2nd",179,26,13,13,0,13,5,5,0,0,0,0
"01901252-b716-7b0a-9f04-28c4541b057b","240613-120501","connect-four","image","2024-06-12",3,"gpt-4-turbo","gpt-4o","disqualified1st",74,26,15,11,0,0,8,4,0,0,0,0
"01901252-b716-7b0a-9f04-28c4541b057b","240613-120525","connect-four","image","2024-06-12",4,"gpt-4-turbo","gpt-4o","winner1st",19,7,4,3,4,0,0,0,0,0,0,0
"01901252-b716-7b0a-9f04-28c4541b057b","240613-120614","connect-four","image","2024-06-12",5,"gpt-4-turbo","gpt-4o","winner1st",44,19,11,8,11,0,4,2,0,0,0,0
"01901259-9a7b-77c1-9f50-7ab5277cebc5","240613-120659","connect-four","image","2024-06-12",1,"gpt-4-turbo","gemini-1.5-pro","winner1st",39,20,11,9,11,0,4,3,0,0,0,0
"01901259-9a7b-77c1-9f50-7ab5277cebc5","240613-120744","connect-four","image","2024-06-12",2,"gpt-4-turbo","gemini-1.5-pro","winner2nd",40,22,11,11,0,11,4,4,0,0,0,0
"01901259-9a7b-77c1-9f50-7ab5277cebc5","240613-120828","connect-four","image","2024-06-12",3,"gpt-4-turbo","gemini-1.5-pro","winner1st",38,20,11,9,11,0,4,3,0,0,0,0
"01901259-9a7b-77c1-9f50-7ab5277cebc5","240613-120911","connect-four","image","2024-06-12",4,"gpt-4-turbo","gemini-1.5-pro","winner1st",38,20,11,9,11,0,4,3,0,0,0,0
"01901259-9a7b-77c1-9f50-7ab5277cebc5","240613-120954","connect-four","image","2024-06-12",5,"gpt-4-turbo","gemini-1.5-pro","winner1st",38,20,11,9,11,0,4,3,0,0,0,0
"0190125c-f5f8-7c9c-98fa-bdd71c4a0861","240613-121037","connect-four","image","2024-06-12",1,"gpt-4-turbo","gemini-1.5-flash","winner2nd",37,20,10,10,0,10,3,3,0,0,0,0
"0190125c-f5f8-7c9c-98fa-bdd71c4a0861","240613-121120","connect-four","image","2024-06-12",2,"gpt-4-turbo","gemini-1.5-flash","winner1st",38,21,12,9,12,0,4,2,0,0,0,0
"0190125c-f5f8-7c9c-98fa-bdd71c4a0861","240613-121235","connect-four","image","2024-06-12",3,"gpt-4-turbo","gemini-1.5-flash","winner1st",69,23,12,11,12,0,4,4,0,0,0,0
"0190125c-f5f8-7c9c-98fa-bdd71c4a0861","240613-121318","connect-four","image","2024-06-12",4,"gpt-4-turbo","gemini-1.5-flash","winner2nd",37,20,10,10,0,10,3,3,0,0,0,0
"0190125c-f5f8-7c9c-98fa-bdd71c4a0861","240613-121404","connect-four","image","2024-06-12",5,"gpt-4-turbo","gemini-1.5-flash","winner1st",41,23,12,11,12,0,4,4,0,0,0,0
"01901260-c6ea-7050-8e1f-afe2e5536964","240613-121458","connect-four","image","2024-06-12",1,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",47,25,15,10,0,0,8,3,0,0,0,0
"01901260-c6ea-7050-8e1f-afe2e5536964","240613-121607","connect-four","image","2024-06-12",2,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",64,29,15,14,0,14,6,5,0,0,0,0
"01901260-c6ea-7050-8e1f-afe2e5536964","240613-121710","connect-four","image","2024-06-12",3,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",58,31,17,14,0,0,8,5,0,0,0,0
"01901260-c6ea-7050-8e1f-afe2e5536964","240613-121809","connect-four","image","2024-06-12",4,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",54,27,14,13,0,13,5,4,0,0,0,0
"01901260-c6ea-7050-8e1f-afe2e5536964","240613-121906","connect-four","image","2024-06-12",5,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",51,24,13,11,13,0,5,4,0,0,0,0
"01901265-5f0b-7adc-85eb-a9a2f4320ad7","240613-122007","connect-four","image","2024-06-12",1,"gemini-1.5-pro","gpt-4o","disqualified1st",56,26,16,10,0,0,8,2,0,0,0,0
"01901265-5f0b-7adc-85eb-a9a2f4320ad7","240613-122112","connect-four","image","2024-06-12",2,"gemini-1.5-pro","gpt-4o","winner1st",60,32,18,14,18,0,5,2,0,0,0,0
"01901265-5f0b-7adc-85eb-a9a2f4320ad7","240613-122148","connect-four","image","2024-06-12",3,"gemini-1.5-pro","gpt-4o","winner1st",30,15,8,7,8,0,0,0,0,0,0,0
"01901265-5f0b-7adc-85eb-a9a2f4320ad7","240613-122317","connect-four","image","2024-06-12",4,"gemini-1.5-pro","gpt-4o","winner2nd",84,32,16,16,0,16,4,4,0,0,0,0
"01901265-5f0b-7adc-85eb-a9a2f4320ad7","240613-122419","connect-four","image","2024-06-12",5,"gemini-1.5-pro","gpt-4o","disqualified1st",56,28,17,11,0,0,8,2,0,0,0,0
"0190126a-245b-77f8-9e18-b1611b4ce16d","240613-122519","connect-four","image","2024-06-12",1,"gemini-1.5-pro","gpt-4-turbo","winner2nd",55,29,14,15,0,15,4,5,0,0,0,0
"0190126a-245b-77f8-9e18-b1611b4ce16d","240613-122614","connect-four","image","2024-06-12",2,"gemini-1.5-pro","gpt-4-turbo","winner2nd",49,25,12,13,0,13,3,4,0,0,0,0
"0190126a-245b-77f8-9e18-b1611b4ce16d","240613-122729","connect-four","image","2024-06-12",3,"gemini-1.5-pro","gpt-4-turbo","winner2nd",69,33,17,16,0,16,6,5,0,0,0,0
"0190126a-245b-77f8-9e18-b1611b4ce16d","240613-122820","connect-four","image","2024-06-12",4,"gemini-1.5-pro","gpt-4-turbo","winner1st",45,23,12,11,12,0,4,4,0,0,0,0
