UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"01900ec2-8f97-7c80-a855-62a0f01d87a9","240612-192252","connect-four","list","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",22,21,11,10,11,0,4,4,0,0,0,0
"01900ec2-8f97-7c80-a855-62a0f01d87a9","240612-192328","connect-four","list","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner2nd",30,25,12,13,0,13,3,4,0,0,0,0
"01900ec2-8f97-7c80-a855-62a0f01d87a9","240612-192407","connect-four","list","2024-06-12",3,"gpt-4o","gpt-4-turbo","disqualified2nd",33,28,12,16,0,0,3,8,0,0,0,0
"01900ec2-8f97-7c80-a855-62a0f01d87a9","240612-192448","connect-four","list","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner2nd",35,27,11,16,0,16,1,6,0,0,0,0
"01900ec2-8f97-7c80-a855-62a0f01d87a9","240612-192523","connect-four","list","2024-06-12",5,"gpt-4o","gpt-4-turbo","winner2nd",28,21,10,11,0,11,3,4,0,0,0,0
"01900ec5-4aa9-70db-8e3a-6cf16f0086bc","240612-192606","connect-four","list","2024-06-12",1,"gpt-4o","gemini-1.5-pro","winner1st",37,32,17,15,17,0,3,2,0,0,0,0
"01900ec5-4aa9-70db-8e3a-6cf16f0086bc","240612-192647","connect-four","list","2024-06-12",2,"gpt-4o","gemini-1.5-pro","winner1st",35,29,17,12,17,0,5,1,0,0,0,0
"01900ec5-4aa9-70db-8e3a-6cf16f0086bc","240612-192725","connect-four","list","2024-06-12",3,"gpt-4o","gemini-1.5-pro","winner1st",32,26,15,11,15,0,4,1,0,0,0,0
"01900ec5-4aa9-70db-8e3a-6cf16f0086bc","240612-192756","connect-four","list","2024-06-12",4,"gpt-4o","gemini-1.5-pro","winner1st",24,19,10,9,10,0,2,2,0,0,0,0
"01900ec5-4aa9-70db-8e3a-6cf16f0086bc","240612-192827","connect-four","list","2024-06-12",5,"gpt-4o","gemini-1.5-pro","winner1st",24,18,10,8,10,0,3,2,0,0,0,0
"01900ec8-19f8-7c54-9b3d-f5542180dd2c","240612-192843","connect-four","list","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ec8-19f8-7c54-9b3d-f5542180dd2c","240612-192911","connect-four","list","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",22,17,10,7,10,0,2,0,0,0,0,0
"01900ec8-19f8-7c54-9b3d-f5542180dd2c","240612-192927","connect-four","list","2024-06-12",3,"gpt-4o","gemini-1.5-flash","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ec8-19f8-7c54-9b3d-f5542180dd2c","240612-192942","connect-four","list","2024-06-12",4,"gpt-4o","gemini-1.5-flash","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ec8-19f8-7c54-9b3d-f5542180dd2c","240612-193015","connect-four","list","2024-06-12",5,"gpt-4o","gemini-1.5-flash","winner2nd",26,23,13,10,0,10,3,0,0,0,0,0
"01900ec9-bf55-7d64-a366-4727cd02bf44","240612-193034","connect-four","list","2024-06-12",1,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",13,9,5,4,5,0,0,0,0,0,0,0
"01900ec9-bf55-7d64-a366-4727cd02bf44","240612-193052","connect-four","list","2024-06-12",2,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",11,9,5,4,5,0,0,0,0,0,0,0
"01900ec9-bf55-7d64-a366-4727cd02bf44","240612-193107","connect-four","list","2024-06-12",3,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ec9-bf55-7d64-a366-4727cd02bf44","240612-193123","connect-four","list","2024-06-12",4,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ec9-bf55-7d64-a366-4727cd02bf44","240612-193139","connect-four","list","2024-06-12",5,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900ecb-09c0-7930-8040-c74f399d71c4","240612-193215","connect-four","list","2024-06-12",1,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",30,24,14,10,14,0,3,0,0,0,0,0
"01900ecb-09c0-7930-8040-c74f399d71c4","240612-193247","connect-four","list","2024-06-12",2,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",26,20,10,10,0,10,0,0,0,0,0,0
"01900ecb-09c0-7930-8040-c74f399d71c4","240612-193319","connect-four","list","2024-06-12",3,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",26,20,12,8,12,0,3,0,0,0,0,0
"01900ecb-09c0-7930-8040-c74f399d71c4","240612-193347","connect-four","list","2024-06-12",4,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",22,17,10,7,10,0,2,0,0,0,0,0
"01900ecb-09c0-7930-8040-c74f399d71c4","240612-193419","connect-four","list","2024-06-12",5,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner1st",25,18,10,8,10,0,1,0,0,0,0,0
"01900ecd-7742-7054-9011-5df1c007123a","240612-193450","connect-four","list","2024-06-12",1,"gpt-4-turbo","gpt-4o","winner2nd",25,20,12,8,0,8,5,1,0,0,0,0
"01900ecd-7742-7054-9011-5df1c007123a","240612-193521","connect-four","list","2024-06-12",2,"gpt-4-turbo","gpt-4o","winner1st",25,21,11,10,11,0,3,3,0,0,0,0
"01900ecd-7742-7054-9011-5df1c007123a","240612-193604","connect-four","list","2024-06-12",3,"gpt-4-turbo","gpt-4o","winner2nd",36,30,16,14,0,14,7,5,0,0,0,0
"01900ecd-7742-7054-9011-5df1c007123a","240612-193628","connect-four","list","2024-06-12",4,"gpt-4-turbo","gpt-4o","winner1st",18,15,9,6,9,0,3,1,0,0,0,0
"01900ecd-7742-7054-9011-5df1c007123a","240612-193708","connect-four","list","2024-06-12",5,"gpt-4-turbo","gpt-4o","winner1st",33,26,13,13,13,0,2,3,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193742","connect-four","list","2024-06-12",1,"gpt-4-turbo","gemini-1.5-pro","winner1st",29,21,11,10,11,0,3,3,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193812","connect-four","list","2024-06-12",2,"gpt-4-turbo","gemini-1.5-pro","winner1st",24,19,10,9,10,0,2,2,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193857","connect-four","list","2024-06-12",3,"gpt-4-turbo","gemini-1.5-pro","winner1st",39,27,14,13,14,0,3,3,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-193929","connect-four","list","2024-06-12",4,"gpt-4-turbo","gemini-1.5-pro","winner2nd",26,18,10,8,0,8,3,1,0,0,0,0
"01900ed0-0b51-7c84-9404-00597eca77a6","240612-194000","connect-four","list","2024-06-12",5,"gpt-4-turbo","gemini-1.5-pro","winner1st",25,17,9,8,9,0,2,2,0,0,0,0
