UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153253","gomoku","illustration","2024-06-12",2,"gpt-4o","gpt-4-turbo","disqualified2nd",47,38,18,20,0,0,13,16,0,0,0,0
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153337","gomoku","illustration","2024-06-12",3,"gpt-4o","gpt-4-turbo","winner2nd",38,31,11,20,0,20,6,13,0,2,0,0
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153444","gomoku","illustration","2024-06-12",4,"gpt-4o","gpt-4-turbo","disqualified2nd",62,50,22,28,0,0,9,16,0,0,0,0
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153533","gomoku","illustration","2024-06-12",5,"gpt-4o","gpt-4-turbo","disqualified2nd",42,33,12,21,0,0,6,15,0,1,0,0
"0190183f-94f0-764a-abce-714a43a0fd22","240614-153608","gomoku","illustration","2024-06-12",1,"gpt-4o","gemini-1.5-pro","disqualified2nd",30,24,6,18,0,0,3,16,0,0,0,0
"0190183f-94f0-764a-abce-714a43a0fd22","240614-153644","gomoku","illustration","2024-06-12",2,"gpt-4o","gemini-1.5-pro","disqualified2nd",29,25,5,20,0,0,0,15,0,1,0,0
"0190183f-94f0-764a-abce-714a43a0fd22","240614-153724","gomoku","illustration","2024-06-12",3,"gpt-4o","gemini-1.5-pro","disqualified2nd",34,30,11,19,0,0,7,15,0,1,0,0
"0190183f-94f0-764a-abce-714a43a0fd22","240614-153758","gomoku","illustration","2024-06-12",4,"gpt-4o","gemini-1.5-pro","disqualified2nd",28,23,4,19,0,0,0,15,0,1,0,0
"0190183f-94f0-764a-abce-714a43a0fd22","240614-153837","gomoku","illustration","2024-06-12",5,"gpt-4o","gemini-1.5-pro","disqualified2nd",33,28,8,20,0,0,3,15,0,1,0,0
"01901842-66c9-738c-bc08-0e8de9164458","240614-153859","gomoku","illustration","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner1st",15,16,6,10,6,0,0,5,0,0,0,0
"01901842-66c9-738c-bc08-0e8de9164458","240614-153925","gomoku","illustration","2024-06-12",2,"gpt-4o","gemini-1.5-flash","disqualified2nd",20,21,3,18,0,0,0,16,0,0,0,0
"01901842-66c9-738c-bc08-0e8de9164458","240614-154004","gomoku","illustration","2024-06-12",3,"gpt-4o","gemini-1.5-flash","disqualified2nd",34,33,10,23,0,0,2,16,0,0,0,0
"01901842-66c9-738c-bc08-0e8de9164458","240614-154051","gomoku","illustration","2024-06-12",4,"gpt-4o","gemini-1.5-flash","disqualified2nd",42,32,11,21,0,0,5,16,0,0,0,0
