UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"019013a0-c45a-787c-b32b-44ebb28d3a5a","240613-180518","gomoku","image","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",97,45,21,24,0,0,12,16,0,0,0,0
"019013a0-c45a-787c-b32b-44ebb28d3a5a","240613-180637","gomoku","image","2024-06-12",2,"gpt-4o","gpt-4-turbo","disqualified1st",74,34,20,14,0,0,16,10,0,0,0,0
"019013a0-c45a-787c-b32b-44ebb28d3a5a","240613-180747","gomoku","image","2024-06-12",3,"gpt-4o","gpt-4-turbo","disqualified2nd",64,30,8,22,0,0,1,16,0,0,0,0
"019013a0-c45a-787c-b32b-44ebb28d3a5a","240613-180906","gomoku","image","2024-06-12",4,"gpt-4o","gpt-4-turbo","disqualified2nd",74,33,12,21,0,0,6,16,0,0,0,0
"019013a0-c45a-787c-b32b-44ebb28d3a5a","240613-181020","gomoku","image","2024-06-12",5,"gpt-4o","gpt-4-turbo","disqualified2nd",69,30,8,22,0,0,1,16,0,0,0,0
"019013a6-ecb0-723d-9787-91967c1a20d9","240613-181153","gomoku","image","2024-06-12",1,"gpt-4o","gemini-1.5-pro","disqualified2nd",88,46,19,27,0,0,7,16,0,0,0,0
"019013a6-ecb0-723d-9787-91967c1a20d9","240613-181327","gomoku","image","2024-06-12",2,"gpt-4o","gemini-1.5-pro","disqualified2nd",89,46,17,29,0,0,3,15,0,1,0,0
"019013a6-ecb0-723d-9787-91967c1a20d9","240613-181411","gomoku","image","2024-06-12",3,"gpt-4o","gemini-1.5-pro","disqualified2nd",39,23,4,19,0,0,0,16,0,0,0,0
"019013a6-ecb0-723d-9787-91967c1a20d9","240613-181515","gomoku","image","2024-06-12",4,"gpt-4o","gemini-1.5-pro","disqualified2nd",59,33,10,23,0,0,2,16,0,0,0,0
"019013a6-ecb0-723d-9787-91967c1a20d9","240613-181630","gomoku","image","2024-06-12",5,"gpt-4o","gemini-1.5-pro","disqualified2nd",69,38,13,25,0,0,3,16,0,0,0,0
"019013ac-9482-7444-adf7-c4056655a91d","240613-181730","gomoku","image","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner2nd",55,38,16,22,0,22,7,13,0,0,0,0
"019013ac-9482-7444-adf7-c4056655a91d","240613-181817","gomoku","image","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",41,22,13,9,13,0,5,2,0,0,0,0
"019013ac-9482-7444-adf7-c4056655a91d","240613-181906","gomoku","image","2024-06-12",3,"gpt-4o","gemini-1.5-flash","disqualified2nd",44,29,7,22,0,0,0,16,0,0,0,0
"019013ac-9482-7444-adf7-c4056655a91d","240613-182041","gomoku","image","2024-06-12",4,"gpt-4o","gemini-1.5-flash","disqualified2nd",89,51,23,28,0,0,10,16,0,0,0,0
"019013ac-9482-7444-adf7-c4056655a91d","240613-182145","gomoku","image","2024-06-12",5,"gpt-4o","gemini-1.5-flash","winner2nd",59,34,16,18,0,18,7,9,0,0,0,0
"019013b1-64d1-73a1-a860-c7bf3629421d","240613-182256","gomoku","image","2024-06-12",1,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",65,38,17,21,0,21,6,10,0,0,0,0
"019013b1-64d1-73a1-a860-c7bf3629421d","240613-201749","gomoku","image","2024-06-12",2,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","winner2nd",6888,54,22,32,0,32,4,14,0,0,0,0
"019013b1-64d1-73a1-a860-c7bf3629421d","240613-201947","gomoku","image","2024-06-12",3,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",112,51,30,21,0,0,16,7,0,0,0,0
"019013b1-64d1-73a1-a860-c7bf3629421d","240613-202222","gomoku","image","2024-06-12",4,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified2nd",150,64,32,32,0,0,15,16,0,0,0,0
"019013b1-64d1-73a1-a860-c7bf3629421d","240613-202453","gomoku","image","2024-06-12",5,"gpt-4o","anthropic.claude-3-sonnet-20240229-v1:0","disqualified2nd",146,68,34,34,0,0,15,16,0,0,0,0
"01901422-1fef-7620-b0ed-90864ec67996","240613-202610","gomoku","image","2024-06-12",1,"gpt-4-turbo","gpt-4o","disqualified1st",71,28,20,8,0,0,16,4,0,0,0,0
"01901422-1fef-7620-b0ed-90864ec67996","240613-202711","gomoku","image","2024-06-12",2,"gpt-4-turbo","gpt-4o","disqualified1st",56,26,20,6,0,0,16,2,0,0,0,0
"01901422-1fef-7620-b0ed-90864ec67996","240613-202857","gomoku","image","2024-06-12",3,"gpt-4-turbo","gpt-4o","disqualified1st",101,37,23,14,0,0,16,7,0,0,0,0
"01901422-1fef-7620-b0ed-90864ec67996","240613-202949","gomoku","image","2024-06-12",4,"gpt-4-turbo","gpt-4o","disqualified1st",46,21,18,3,0,0,16,1,0,0,0,0
"01901422-1fef-7620-b0ed-90864ec67996","240613-203132","gomoku","image","2024-06-12",5,"gpt-4-turbo","gpt-4o","disqualified1st",98,37,24,13,0,0,16,5,0,0,0,0
"01901428-33a4-7837-a6e8-1eb614518e25","240613-203254","gomoku","image","2024-06-12",1,"gpt-4-turbo","gemini-1.5-pro","disqualified1st",77,27,19,8,0,0,16,5,0,0,0,0
"01901428-33a4-7837-a6e8-1eb614518e25","240613-203410","gomoku","image","2024-06-12",2,"gpt-4-turbo","gemini-1.5-pro","disqualified2nd",71,37,16,21,0,0,10,16,0,0,0,0
"01901428-33a4-7837-a6e8-1eb614518e25","240613-203514","gomoku","image","2024-06-12",3,"gpt-4-turbo","gemini-1.5-pro","disqualified1st",59,30,21,9,0,0,16,4,0,0,0,0
"01901428-33a4-7837-a6e8-1eb614518e25","240613-203712","gomoku","image","2024-06-12",4,"gpt-4-turbo","gemini-1.5-pro","disqualified1st",113,46,25,21,0,0,16,12,0,0,0,0
"01901428-33a4-7837-a6e8-1eb614518e25","240613-203902","gomoku","image","2024-06-12",5,"gpt-4-turbo","gemini-1.5-pro","disqualified1st",105,49,26,23,0,0,16,13,0,0,0,0
"0190142f-10d6-7753-8e3d-53e288825c53","240613-204009","gomoku","image","2024-06-12",1,"gpt-4-turbo","gemini-1.5-flash","disqualified1st",62,27,20,7,0,0,16,3,0,0,0,0
"0190142f-10d6-7753-8e3d-53e288825c53","240613-204121","gomoku","image","2024-06-12",2,"gpt-4-turbo","gemini-1.5-flash","disqualified1st",67,34,22,12,0,0,16,6,0,0,0,0
"0190142f-10d6-7753-8e3d-53e288825c53","240613-204237","gomoku","image","2024-06-12",3,"gpt-4-turbo","gemini-1.5-flash","disqualified1st",70,30,22,8,0,0,16,2,0,0,0,0
"0190142f-10d6-7753-8e3d-53e288825c53","240613-204340","gomoku","image","2024-06-12",4,"gpt-4-turbo","gemini-1.5-flash","disqualified1st",58,26,20,6,0,0,16,2,0,0,0,0
"0190142f-10d6-7753-8e3d-53e288825c53","240613-204500","gomoku","image","2024-06-12",5,"gpt-4-turbo","gemini-1.5-flash","disqualified1st",75,36,22,14,0,0,16,8,0,0,0,0
"01901434-8976-70df-a89a-324f54a8f692","240613-204618","gomoku","image","2024-06-12",1,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",73,29,21,8,0,0,16,3,0,0,0,0
"01901434-8976-70df-a89a-324f54a8f692","240613-204712","gomoku","image","2024-06-12",2,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",50,23,19,4,0,0,16,1,0,0,0,0
"01901434-8976-70df-a89a-324f54a8f692","240613-204827","gomoku","image","2024-06-12",3,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",69,28,21,7,0,0,16,2,0,0,0,0
"01901434-8976-70df-a89a-324f54a8f692","240613-205001","gomoku","image","2024-06-12",4,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",88,30,22,8,0,0,16,2,0,0,0,0
"01901434-8976-70df-a89a-324f54a8f692","240613-205104","gomoku","image","2024-06-12",5,"gpt-4-turbo","anthropic.claude-3-sonnet-20240229-v1:0","disqualified1st",58,23,19,4,0,0,16,1,0,0,0,0
"0190143a-1631-7295-8a8c-9dd1f44fb9d4","240613-205231","gomoku","image","2024-06-12",1,"gemini-1.5-pro","gpt-4o","disqualified1st",82,44,26,18,0,0,16,8,0,0,0,0
