UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"01900f02-ef36-7685-8dfd-27ef7bd59e54","240612-203337","gomoku","list","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",49,40,17,23,0,0,9,10,0,1,0,5
"01900f02-ef36-7685-8dfd-27ef7bd59e54","240612-203508","gomoku","list","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner2nd",85,57,23,34,0,34,2,7,0,6,0,0
"01900f02-ef36-7685-8dfd-27ef7bd59e54","240612-203611","gomoku","list","2024-06-12",3,"gpt-4o","gpt-4-turbo","disqualified2nd",57,44,21,23,0,0,13,3,0,3,0,10
"01900f02-ef36-7685-8dfd-27ef7bd59e54","240612-203641","gomoku","list","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner2nd",24,16,8,8,0,8,2,0,0,2,0,0
"01900f02-ef36-7685-8dfd-27ef7bd59e54","240612-203728","gomoku","list","2024-06-12",5,"gpt-4o","gpt-4-turbo","disqualified1st",42,33,23,10,0,0,16,0,0,3,0,0
"01900f07-4953-7239-97e7-01273e04ad40","240612-203802","gomoku","list","2024-06-12",1,"gpt-4o","gemini-1.5-pro","disqualified1st",28,26,21,5,0,0,16,0,0,0,0,0
"01900f07-4953-7239-97e7-01273e04ad40","240612-203857","gomoku","list","2024-06-12",2,"gpt-4o","gemini-1.5-pro","disqualified2nd",49,42,19,23,0,0,11,0,0,0,0,16
"01900f07-4953-7239-97e7-01273e04ad40","240612-203930","gomoku","list","2024-06-12",3,"gpt-4o","gemini-1.5-pro","disqualified1st",27,26,21,5,0,0,16,0,0,0,0,0
"01900f07-4953-7239-97e7-01273e04ad40","240612-204011","gomoku","list","2024-06-12",4,"gpt-4o","gemini-1.5-pro","disqualified1st",35,28,22,6,0,0,16,0,0,0,0,0
"01900f07-4953-7239-97e7-01273e04ad40","240612-204103","gomoku","list","2024-06-12",5,"gpt-4o","gemini-1.5-pro","disqualified2nd",46,36,13,23,0,0,5,0,0,0,0,16
"01900f0a-8eda-77f8-b0d9-9ad7c3bc3a6f","240612-204120","gomoku","list","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner1st",11,10,6,4,6,0,1,0,0,0,0,0
"01900f0a-8eda-77f8-b0d9-9ad7c3bc3a6f","240612-204136","gomoku","list","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",11,10,6,4,6,0,1,0,0,0,0,0
"01900f0a-8eda-77f8-b0d9-9ad7c3bc3a6f","240612-204153","gomoku","list","2024-06-12",3,"gpt-4o","gemini-1.5-flash","winner1st",10,10,6,4,6,0,1,0,0,0,0,0
"01900f0a-8eda-77f8-b0d9-9ad7c3bc3a6f","240612-204208","gomoku","list","2024-06-12",4,"gpt-4o","gemini-1.5-flash","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900f0a-8eda-77f8-b0d9-9ad7c3bc3a6f","240612-204225","gomoku","list","2024-06-12",5,"gpt-4o","gemini-1.5-flash","winner1st",10,9,5,4,5,0,0,0,0,0,0,0
"01900f0b-d22c-7181-bfbb-6fbdbcb6b5ed","240612-204250","gomoku","list","2024-06-12",1,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",19,11,7,4,7,0,2,0,0,0,0,0
"01900f0b-d22c-7181-bfbb-6fbdbcb6b5ed","240612-204307","gomoku","list","2024-06-12",2,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",11,11,7,4,7,0,2,0,0,0,0,0
"01900f0b-d22c-7181-bfbb-6fbdbcb6b5ed","240612-204324","gomoku","list","2024-06-12",3,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",11,10,6,4,6,0,1,0,0,0,0,0
"01900f0b-d22c-7181-bfbb-6fbdbcb6b5ed","240612-204341","gomoku","list","2024-06-12",4,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",11,10,6,4,6,0,1,0,0,0,0,0
