UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"019014e3-d95c-7c7a-b217-ce0db23bfcb4","240613-235641","tic-tac-toe","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner2nd",6,6,3,3,0,3,0,0,0,0,0,0
"019014e3-d95c-7c7a-b217-ce0db23bfcb4","240613-235654","tic-tac-toe","illustration","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner1st",8,7,3,4,3,0,0,2,0,0,0,0
"019014e3-d95c-7c7a-b217-ce0db23bfcb4","240613-235709","tic-tac-toe","illustration","2024-06-12",3,"gpt-4o","gpt-4-turbo","winner1st",9,6,3,3,3,0,0,1,0,0,0,0
"019014e3-d95c-7c7a-b217-ce0db23bfcb4","240613-235725","tic-tac-toe","illustration","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner1st",11,10,5,5,5,0,0,0,0,1,0,0
"019014e3-d95c-7c7a-b217-ce0db23bfcb4","240613-235737","tic-tac-toe","illustration","2024-06-12",5,"gpt-4o","gpt-4-turbo","winner2nd",7,6,3,3,0,3,0,0,0,0,0,0
"019014e4-e4d7-7912-9f9a-97b03496070f","240613-235751","tic-tac-toe","illustration","2024-06-12",1,"gpt-4o","gemini-1.5-pro","winner2nd",8,6,3,3,0,3,0,0,0,0,0,0
"019014e4-e4d7-7912-9f9a-97b03496070f","240613-235802","tic-tac-toe","illustration","2024-06-12",2,"gpt-4o","gemini-1.5-pro","winner1st",4,5,3,2,3,0,0,0,0,0,0,0
"019014e4-e4d7-7912-9f9a-97b03496070f","240613-235812","tic-tac-toe","illustration","2024-06-12",3,"gpt-4o","gemini-1.5-pro","winner1st",5,5,3,2,3,0,0,0,0,0,0,0
"019014e4-e4d7-7912-9f9a-97b03496070f","240613-235826","tic-tac-toe","illustration","2024-06-12",4,"gpt-4o","gemini-1.5-pro","winner1st",8,9,5,4,5,0,0,0,0,0,0,0
"019014e4-e4d7-7912-9f9a-97b03496070f","240613-235838","tic-tac-toe","illustration","2024-06-12",5,"gpt-4o","gemini-1.5-pro","winner1st",6,7,4,3,4,0,0,0,0,0,0,0
