UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"0190120c-9205-7e08-a9f4-d9b0eb37e101","240613-104245","tic-tac-toe","image","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified1st",33,14,8,6,0,0,4,2,0,0,0,0
"0190120c-9205-7e08-a9f4-d9b0eb37e101","240613-104306","tic-tac-toe","image","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner2nd",17,7,3,4,0,4,0,1,0,0,0,0
"0190120c-9205-7e08-a9f4-d9b0eb37e101","240613-104327","tic-tac-toe","image","2024-06-12",3,"gpt-4o","gpt-4-turbo","winner1st",16,5,3,2,3,0,0,0,0,0,0,0
"0190120c-9205-7e08-a9f4-d9b0eb37e101","240613-104345","tic-tac-toe","image","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner2nd",12,6,3,3,0,3,0,0,0,0,0,0
"0190120c-9205-7e08-a9f4-d9b0eb37e101","240613-104407","tic-tac-toe","image","2024-06-12",5,"gpt-4o","gpt-4-turbo","disqualified2nd",17,7,2,5,0,0,0,4,0,0,0,0
"0190120e-69b6-7d04-9dd0-289393544bcc","240613-104423","tic-tac-toe","image","2024-06-12",1,"gpt-4o","gemini-1.5-pro","winner1st",11,5,3,2,3,0,0,0,0,0,0,0
"0190120e-69b6-7d04-9dd0-289393544bcc","240613-104453","tic-tac-toe","image","2024-06-12",2,"gpt-4o","gemini-1.5-pro","disqualified2nd",24,14,7,7,0,0,3,4,0,0,0,0
"0190120e-69b6-7d04-9dd0-289393544bcc","240613-104524","tic-tac-toe","image","2024-06-12",3,"gpt-4o","gemini-1.5-pro","disqualified2nd",26,12,5,7,0,0,1,4,0,0,0,0
"0190120e-69b6-7d04-9dd0-289393544bcc","240613-104551","tic-tac-toe","image","2024-06-12",4,"gpt-4o","gemini-1.5-pro","disqualified2nd",21,13,6,7,0,0,2,4,0,0,0,0
"0190120e-69b6-7d04-9dd0-289393544bcc","240613-104604","tic-tac-toe","image","2024-06-12",5,"gpt-4o","gemini-1.5-pro","winner1st",9,5,3,2,3,0,0,0,0,0,0,0
"01901210-345e-7ab5-aaa9-c7c95faa9b0f","240613-104619","tic-tac-toe","image","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner1st",10,5,3,2,3,0,0,0,0,0,0,0
"01901210-345e-7ab5-aaa9-c7c95faa9b0f","240613-104635","tic-tac-toe","image","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",10,5,3,2,3,0,0,0,0,0,0,0
"01901210-345e-7ab5-aaa9-c7c95faa9b0f","240613-104700","tic-tac-toe","image","2024-06-12",3,"gpt-4o","gemini-1.5-flash","winner1st",19,9,6,3,6,0,2,0,0,0,0,0
"01901210-345e-7ab5-aaa9-c7c95faa9b0f","240613-104724","tic-tac-toe","image","2024-06-12",4,"gpt-4o","gemini-1.5-flash","disqualified1st",19,10,7,3,0,0,4,0,0,0,0,0
