UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds
"019026a0-448e-7f72-bdf1-6590db946e44","240617-103605","tic-tac-toe","list","2024-06-12",1,"gpt-4o","gpt-4-turbo","winner1st",10,6,3,3,3,0,0,0,0,1,0,0
"019026a0-448e-7f72-bdf1-6590db946e44","240617-103617","tic-tac-toe","list","2024-06-12",2,"gpt-4o","gpt-4-turbo","winner2nd",7,7,3,4,0,4,0,0,0,1,0,0
"019026a0-448e-7f72-bdf1-6590db946e44","240617-103628","tic-tac-toe","list","2024-06-12",3,"gpt-4o","gpt-4-turbo","winner1st",5,5,3,2,3,0,0,0,0,0,0,0
"019026a0-448e-7f72-bdf1-6590db946e44","240617-103638","tic-tac-toe","list","2024-06-12",4,"gpt-4o","gpt-4-turbo","winner1st",5,5,3,2,3,0,0,0,0,0,0,0
"019026a0-448e-7f72-bdf1-6590db946e44","240617-103648","tic-tac-toe","list","2024-06-12",5,"gpt-4o","gpt-4-turbo","winner1st",4,5,3,2,3,0,0,0,0,0,0,0
"019026a1-2499-718c-bb0a-483434b721c8","240617-103700","tic-tac-toe","list","2024-06-12",1,"gpt-4o","gemini-1.5-pro","winner1st",7,5,3,2,3,0,0,0,0,0,0,0
"019026a1-2499-718c-bb0a-483434b721c8","240617-103711","tic-tac-toe","list","2024-06-12",2,"gpt-4o","gemini-1.5-pro","winner1st",6,7,4,3,4,0,0,0,0,0,0,0
"019026a1-2499-718c-bb0a-483434b721c8","240617-103721","tic-tac-toe","list","2024-06-12",3,"gpt-4o","gemini-1.5-pro","winner1st",4,5,3,2,3,0,0,0,0,0,0,0
"019026a1-2499-718c-bb0a-483434b721c8","240617-103733","tic-tac-toe","list","2024-06-12",4,"gpt-4o","gemini-1.5-pro","winner1st",6,7,4,3,4,0,0,0,0,0,0,0
"019026a1-2499-718c-bb0a-483434b721c8","240617-103744","tic-tac-toe","list","2024-06-12",5,"gpt-4o","gemini-1.5-pro","winner1st",6,7,4,3,4,0,0,0,0,0,0,0
"019026a1-ffe1-7d63-8f0b-c95983fd01cc","240617-103754","tic-tac-toe","list","2024-06-12",1,"gpt-4o","gemini-1.5-flash","winner2nd",5,6,3,3,0,3,0,0,0,0,0,0
"019026a1-ffe1-7d63-8f0b-c95983fd01cc","240617-103804","tic-tac-toe","list","2024-06-12",2,"gpt-4o","gemini-1.5-flash","winner1st",5,5,3,2,3,0,0,0,0,0,0,0
"019026a1-ffe1-7d63-8f0b-c95983fd01cc","240617-103816","tic-tac-toe","list","2024-06-12",3,"gpt-4o","gemini-1.5-flash","winner2nd",6,6,3,3,0,3,0,0,0,0,0,0
"019026a1-ffe1-7d63-8f0b-c95983fd01cc","240617-103826","tic-tac-toe","list","2024-06-12",4,"gpt-4o","gemini-1.5-flash","winner2nd",5,6,3,3,0,3,0,0,0,0,0,0
"019026a1-ffe1-7d63-8f0b-c95983fd01cc","240617-103837","tic-tac-toe","list","2024-06-12",5,"gpt-4o","gemini-1.5-flash","winner2nd",6,6,3,3,0,3,0,0,0,0,0,0
"019026a2-cfa3-77f6-83c2-62ed3b0963cb","240617-103850","tic-tac-toe","list","2024-06-12",1,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner2nd",8,6,3,3,0,3,0,0,0,0,0,0
"019026a2-cfa3-77f6-83c2-62ed3b0963cb","240617-103859","tic-tac-toe","list","2024-06-12",2,"gpt-4o","meta.llama3-70b-instruct-v1:0","winner1st",4,5,3,2,3,0,0,0,0,0,0,0
